t,joy_roll,joy_pitch,joy_yaw,gyro_roll,gyro_pitch,gyro_yaw,out_roll,out_pitch,out_yaw
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0167,0.0033,0.0000,0.0523,0.0000,0.0000,71.4038,0.0000,0.0000,238.0126
0.0333,0.0067,0.0000,0.1040,0.0000,0.0000,179.3766,0.0000,0.0000,431.3132
0.0500,0.0100,0.0000,0.1545,0.0000,0.0000,275.0317,0.0000,0.0000,498.2269
0.0667,0.0133,0.0000,0.2034,0.0000,0.0000,352.4438,0.0000,0.0000,533.0720
0.0833,0.0167,0.0000,0.2500,0.0000,0.0000,408.3421,0.0000,0.0000,538.7716
0.1000,0.0200,0.0000,0.2939,0.0000,0.0000,445.1915,0.0000,0.0000,531.1733
0.1167,0.0233,0.0000,0.3346,11.0626,0.0000,465.5839,36.8752,0.0000,513.1662
0.1333,0.0267,0.0000,0.3716,21.0816,0.0000,472.1833,44.4593,0.0000,487.5820
0.1500,0.0300,0.0000,0.4045,30.2516,0.0000,467.0435,51.6483,0.0000,455.0507
0.1667,0.0333,0.0000,0.4330,37.3934,0.0000,451.7219,54.0574,0.0000,415.9715
0.1833,0.0367,0.0000,0.4568,42.8775,0.0000,427.4081,55.6738,0.0000,370.6759
0.2000,0.0400,0.0000,0.4755,46.9626,0.0000,395.0508,56.4947,0.0000,319.5504
0.2167,0.0433,0.0000,0.4891,50.0175,0.0000,355.4656,57.1456,0.0000,263.1001
0.2333,0.0467,0.0000,0.4973,52.3257,0.0000,309.4752,57.7115,0.0000,202.1643
0.2500,0.0500,0.0000,0.5000,54.1144,0.0000,257.9753,58.2879,0.0000,137.8089
0.2667,0.0533,0.0000,0.4973,55.5470,0.0000,201.9696,58.8898,0.0000,71.2895
0.2833,0.0567,0.0000,0.4891,56.7402,0.0000,142.5694,59.5244,0.0000,3.9690
0.3000,0.0600,0.0000,0.4755,57.7745,0.0000,80.9686,60.1877,0.0000,-62.7667
0.3167,0.0633,0.0000,0.4568,58.7046,0.0000,18.3935,60.8751,0.0000,-127.6151
